NomeDistri,media
Pari,3.223349778450822
Jardim Helena,3.4153749447798414
Bras,3.5915602584040736
Bom Retiro,7.111568726775292
Itaim Bibi,7.44796906473912
Barra Funda,8.791737668424599
Moema,9.215827105018112
Republica,10.835097386554233
Belem,10.960216362289843
Vila Leopoldina,12.400300474376676
Santa Cecilia,14.043347081575435
Grajau,15.270653991598502
Jaguara,15.721077155828127
Cidade Dutra,15.845420798816438
Jacana,16.016951018716764
Sao Domingos,16.12889463440653
Mooca,16.36138441410284
Ipiranga,16.49090356460296
Vila Formosa,16.564985955713215
Agua Rasa,16.598148955610114
Sao Lucas,16.687929004467303
Carrao,16.70329380888687
Vila Prudente,16.829307298949754
Tatuape,16.8537347981703
Tucuruvi,16.994294289799466
Socorro,17.232776482605022
Itaquera,17.24824610378011
Aricanduva,17.26718664868054
Limao,17.43759190533149
Sacoma,17.448863874645657
Artur Alvim,17.65979066800407
Ermelino Matarazzo,17.79747706008704
Vila Jacui,17.86165355775552
Saude,17.877946414480288
Ponte Rasa,17.90160451662877
Casa Verde,17.978479446648993
Santo Amaro,18.21873402476904
Cursino,18.226259676775687
Itaim Paulista,18.31481927635844
Campo Belo,18.343867524433275
Vila Medeiros,18.42325261908364
Se,18.530994871816663
Jabaquara,18.622162580458795
Vila Matilde,18.651872120253
Raposo Tavares,18.6591141997804
Sao Miguel,18.803573659899776
Jaguare,18.854922145576424
Vila Maria,18.943925983537156
Rio Pequeno,18.949695993726813
Vila Guilherme,18.9642116303601
Penha,19.1347360858744
Campo Limpo,19.409386082984
Capao Redondo,19.881184269276655
Vila Curuca,19.936410510468615
Cidade Ademar,20.149522221294497
Cangaiba,20.29305950146999
Marsilac,20.489845494143438
Cambuci,20.598040074135895
Vila Sonia,20.673697268017083
Lapa,20.805852426439067
Campo Grande,20.967279169126154
Cachoeirinha,21.434740167315066
Jardim Sao Luis,21.570687780301267
Jose Bonifacio,21.683026660222424
Pedreira,21.853916809515454
Butanta,21.87210189642672
Liberdade,21.88504701140127
Guaianases,21.937666296136744
Pinheiros,21.947007906887002
Lajeado,22.230591207351843
Morumbi,22.297189360993404
Parelheiros,22.320279729293954
Freguesia do O,22.38134150324625
Vila Mariana,22.54381530207847
Sao Mateus,22.602653079746442
Alto de Pinheiros,23.36592829381431
Sapopemba,23.51956441514182
Parque do Carmo,23.637497263928875
Consolacao,23.659310451460573
Santana,23.790505892793803
Sao Rafael,24.893569645472244
Jardim Angela,25.151556725493855
Perdizes,25.172166986293064
Bela Vista,25.270757814050366
Vila Andrade,25.925061083446046
Cidade Lider,26.9187281363864
Pirituba,26.92978581699017
Cidade Tiradentes,27.803425304243547
Tremembe,28.25225394242779
Mandaqui,30.321233147561966
Iguatemi,30.454538095218954
Jardim Paulista,30.65180155082577
Anhanguera,31.197210419281312
Brasilandia,34.0973677976853
Jaragua,34.76784354213044
Perus,40.18389105650593
