,index,i,j,elevation,distance,time,origin_x,origin_y,dest_x,dest_y
0,826,19,17,4,764.8,102.2,-46.67630000000001,-23.5564,-46.67630000000001,-23.5564
1,1181,20,19,4,2512.1,276.9,-46.661300000000004,-23.5414,-46.646300000000004,-23.5414
2,1444,20,21,2,3121.6,328.1,-46.646300000000004,-23.5414,-46.61630000000001,-23.5414
3,1676,21,20,4,2773.0,296.6,-46.61630000000001,-23.526399999999995,-46.6313,-23.526399999999995
4,1720,17,23,4,2016.7,237.4,-46.571299999999994,-23.5864,-46.586299999999994,-23.5864
5,1824,22,19,4,2693.1,279.4,-46.661300000000004,-23.511399999999995,-46.646300000000004,-23.526399999999995
6,1827,22,19,4,2693.1,279.4,-46.661300000000004,-23.511399999999995,-46.646300000000004,-23.526399999999995
7,1845,21,19,2,2001.5,267.4,-46.646300000000004,-23.526399999999995,-46.646300000000004,-23.526399999999995
8,1872,22,19,4,3066.8,363.6,-46.661300000000004,-23.511399999999995,-46.646300000000004,-23.511399999999995
9,1877,22,19,4,3066.8,363.6,-46.661300000000004,-23.511399999999995,-46.646300000000004,-23.511399999999995
10,1882,22,19,4,3066.8,363.6,-46.661300000000004,-23.511399999999995,-46.646300000000004,-23.511399999999995
11,1907,21,19,4,2334.9,270.4,-46.646300000000004,-23.526399999999995,-46.646300000000004,-23.526399999999995
12,1909,21,20,4,1937.9,187.8,-46.646300000000004,-23.526399999999995,-46.6313,-23.526399999999995
13,1978,21,17,4,6957.1,490.1,-46.646300000000004,-23.526399999999995,-46.67630000000001,-23.511399999999995
14,1979,22,19,2,6832.5,530.4,-46.67630000000001,-23.511399999999995,-46.646300000000004,-23.526399999999995
15,1983,21,17,4,6957.1,490.1,-46.646300000000004,-23.526399999999995,-46.67630000000001,-23.511399999999995
16,1984,22,19,2,6827.9,529.9,-46.67630000000001,-23.511399999999995,-46.646300000000004,-23.526399999999995
17,2150,22,20,4,3004.6,278.9,-46.646300000000004,-23.511399999999995,-46.6313,-23.526399999999995
18,2152,22,21,2,6224.2,575.8,-46.646300000000004,-23.511399999999995,-46.61630000000001,-23.5414
19,2155,22,21,2,6224.2,575.8,-46.646300000000004,-23.511399999999995,-46.61630000000001,-23.5414
20,2158,22,20,4,3004.6,278.9,-46.646300000000004,-23.511399999999995,-46.6313,-23.526399999999995
21,2241,21,22,2,4910.7,537.4,-46.6313,-23.526399999999995,-46.601299999999995,-23.511399999999995
22,2275,21,20,4,1696.7,144.3,-46.646300000000004,-23.526399999999995,-46.6313,-23.526399999999995
23,2283,21,20,4,1696.7,144.3,-46.646300000000004,-23.526399999999995,-46.6313,-23.526399999999995
24,2287,21,20,4,6078.4,562.3,-46.586299999999994,-23.526399999999995,-46.6313,-23.526399999999995
25,2354,21,20,4,1615.5,195.3,-46.6313,-23.526399999999995,-46.6313,-23.5414
26,2355,20,20,4,2896.2,288.0,-46.6313,-23.5414,-46.6313,-23.526399999999995
27,2437,21,20,4,8224.3,736.5,-46.571299999999994,-23.526399999999995,-46.6313,-23.526399999999995
28,2440,21,20,4,8224.3,736.5,-46.571299999999994,-23.526399999999995,-46.6313,-23.526399999999995
29,2443,21,20,4,8224.3,736.5,-46.571299999999994,-23.526399999999995,-46.6313,-23.526399999999995
30,2543,21,22,2,2788.9,312.8,-46.61630000000001,-23.526399999999995,-46.601299999999995,-23.5414
31,2544,20,21,4,1806.8,179.9,-46.601299999999995,-23.5414,-46.61630000000001,-23.526399999999995
32,2545,21,22,2,1660.9,166.3,-46.61630000000001,-23.526399999999995,-46.601299999999995,-23.526399999999995
33,2546,21,21,2,1669.5,229.7,-46.601299999999995,-23.526399999999995,-46.61630000000001,-23.526399999999995
34,2547,21,22,2,1633.4,209.2,-46.61630000000001,-23.526399999999995,-46.601299999999995,-23.526399999999995
35,2548,21,21,2,1706.3,245.3,-46.601299999999995,-23.526399999999995,-46.61630000000001,-23.526399999999995
36,2549,21,22,2,1633.4,209.2,-46.61630000000001,-23.526399999999995,-46.601299999999995,-23.526399999999995
37,2550,21,21,2,1706.3,245.3,-46.601299999999995,-23.526399999999995,-46.61630000000001,-23.526399999999995
38,2554,21,22,2,1633.4,209.2,-46.61630000000001,-23.526399999999995,-46.601299999999995,-23.526399999999995
39,2555,21,21,2,1706.3,245.3,-46.601299999999995,-23.526399999999995,-46.61630000000001,-23.526399999999995
40,2556,21,22,2,1633.4,209.2,-46.61630000000001,-23.526399999999995,-46.601299999999995,-23.526399999999995
41,2557,21,21,2,1706.3,245.3,-46.601299999999995,-23.526399999999995,-46.61630000000001,-23.526399999999995
42,2703,21,21,2,889.3,150.8,-46.61630000000001,-23.526399999999995,-46.61630000000001,-23.526399999999995
43,2704,21,22,2,3261.3,386.4,-46.61630000000001,-23.526399999999995,-46.601299999999995,-23.526399999999995
44,2706,21,21,4,1826.1,219.0,-46.61630000000001,-23.526399999999995,-46.61630000000001,-23.526399999999995
45,2714,21,21,2,1166.1,173.2,-46.61630000000001,-23.526399999999995,-46.61630000000001,-23.526399999999995
46,2719,21,21,2,889.3,150.8,-46.61630000000001,-23.526399999999995,-46.61630000000001,-23.526399999999995
47,2720,21,21,4,1826.1,219.0,-46.61630000000001,-23.526399999999995,-46.61630000000001,-23.526399999999995
48,2741,21,21,4,1023.7,134.3,-46.61630000000001,-23.526399999999995,-46.61630000000001,-23.526399999999995
49,2742,21,21,4,1225.8,163.2,-46.61630000000001,-23.526399999999995,-46.61630000000001,-23.526399999999995
50,2757,21,21,2,587.0,138.5,-46.61630000000001,-23.526399999999995,-46.61630000000001,-23.526399999999995
51,2758,21,21,4,748.4,173.2,-46.61630000000001,-23.526399999999995,-46.61630000000001,-23.526399999999995
52,2759,21,21,2,587.0,138.5,-46.61630000000001,-23.526399999999995,-46.61630000000001,-23.526399999999995
53,2760,21,21,4,748.4,173.2,-46.61630000000001,-23.526399999999995,-46.61630000000001,-23.526399999999995
54,2762,21,21,2,587.0,138.5,-46.61630000000001,-23.526399999999995,-46.61630000000001,-23.526399999999995
55,2763,21,21,4,748.4,173.2,-46.61630000000001,-23.526399999999995,-46.61630000000001,-23.526399999999995
56,2764,21,21,2,587.0,138.5,-46.61630000000001,-23.526399999999995,-46.61630000000001,-23.526399999999995
