,index,i,j,elevation,distance,time,origin_x,origin_y,dest_x,dest_y
0,15,19,19,4,3935.2,407.4,-46.6313,-23.5564,-46.646300000000004,-23.5414
1,34,19,24,4,6892.8,707.0,-46.6313,-23.5564,-46.571299999999994,-23.5414
2,104,19,20,4,4111.1,439.7,-46.661300000000004,-23.5564,-46.6313,-23.5564
3,253,20,18,4,5199.4,468.9,-46.6313,-23.5414,-46.661300000000004,-23.511399999999995
4,278,21,20,2,4551.3,446.6,-46.6313,-23.526399999999995,-46.63130000000001,-23.496400000000005
5,280,22,20,4,3870.6,401.7,-46.6313,-23.511399999999995,-46.6313,-23.526399999999995
6,308,22,20,4,3198.8,347.3,-46.6313,-23.511399999999995,-46.6313,-23.5414
7,347,20,21,4,2835.3,241.4,-46.6313,-23.5414,-46.61630000000001,-23.5564
8,348,19,20,4,3043.8,261.4,-46.61630000000001,-23.5564,-46.6313,-23.5414
9,351,20,21,4,2835.3,241.4,-46.6313,-23.5414,-46.61630000000001,-23.5564
10,352,19,20,4,3043.8,261.4,-46.61630000000001,-23.5564,-46.6313,-23.5414
11,358,19,20,4,3043.8,261.4,-46.61630000000001,-23.5564,-46.6313,-23.5414
12,447,20,20,2,2503.2,235.8,-46.61630000000001,-23.5414,-46.6313,-23.5414
13,502,19,19,4,4696.2,558.0,-46.6313,-23.5564,-46.646300000000004,-23.5414
14,639,19,20,4,2786.5,250.8,-46.61630000000001,-23.5564,-46.6313,-23.5564
15,698,19,20,4,3647.5,411.2,-46.661300000000004,-23.5564,-46.6313,-23.5564
16,789,21,19,4,4818.5,523.3,-46.661300000000004,-23.526399999999995,-46.646300000000004,-23.5564
17,944,19,19,4,3763.4,409.2,-46.6313,-23.5564,-46.646300000000004,-23.5414
18,971,19,19,4,4606.4,517.4,-46.67630000000001,-23.5564,-46.646300000000004,-23.5564
19,1047,20,17,4,3788.7,426.4,-46.646300000000004,-23.5414,-46.67630000000001,-23.5564
20,1098,20,20,4,3609.2,377.3,-46.646300000000004,-23.5414,-46.6313,-23.526399999999995
21,1108,19,19,4,1294.4,164.5,-46.646300000000004,-23.5564,-46.646300000000004,-23.5414
22,1185,19,19,4,2324.3,224.6,-46.661300000000004,-23.5564,-46.646300000000004,-23.5414
23,1202,19,19,4,2345.3,226.5,-46.661300000000004,-23.5564,-46.646300000000004,-23.5414
24,1242,19,19,4,4006.8,470.3,-46.6313,-23.5564,-46.646300000000004,-23.5414
25,1244,19,19,4,4006.8,470.3,-46.6313,-23.5564,-46.646300000000004,-23.5414
26,1248,19,19,4,4006.8,470.3,-46.6313,-23.5564,-46.646300000000004,-23.5414
27,1259,20,18,4,3002.2,339.2,-46.6313,-23.5414,-46.661300000000004,-23.5564
28,1265,20,18,4,3002.2,339.2,-46.6313,-23.5414,-46.661300000000004,-23.5564
29,1352,20,16,4,6457.2,731.6,-46.646300000000004,-23.5414,-46.691300000000005,-23.5564
30,1379,20,20,4,5981.7,635.6,-46.601299999999995,-23.5414,-46.6313,-23.5414
31,1381,20,20,4,5981.7,635.6,-46.601299999999995,-23.5414,-46.6313,-23.5414
32,1389,19,19,4,3812.1,388.2,-46.661300000000004,-23.5564,-46.646300000000004,-23.5414
33,1411,18,19,4,4866.5,486.1,-46.646300000000004,-23.571399999999997,-46.646300000000004,-23.5414
34,1425,20,20,2,3543.2,405.6,-46.646300000000004,-23.5414,-46.6313,-23.526399999999995
35,1451,18,19,4,4845.7,479.5,-46.646300000000004,-23.571399999999997,-46.646300000000004,-23.5414
36,1459,20,20,4,4419.4,457.3,-46.601299999999995,-23.5414,-46.6313,-23.5414
37,1471,20,20,4,4617.4,456.4,-46.6313,-23.5414,-46.6313,-23.511399999999995
38,1512,20,20,4,777.4,78.8,-46.6313,-23.5414,-46.6313,-23.5414
39,1515,22,20,4,6120.6,572.7,-46.586299999999994,-23.511399999999995,-46.6313,-23.5414
40,1548,21,19,2,2928.9,364.2,-46.6313,-23.526399999999995,-46.646300000000004,-23.5414
41,1554,21,21,4,4510.8,449.5,-46.6313,-23.526399999999995,-46.61630000000001,-23.496400000000005
42,1555,23,20,4,5168.9,558.6,-46.61630000000001,-23.496400000000005,-46.6313,-23.526399999999995
43,1586,21,20,2,8240.8,688.0,-46.67630000000001,-23.526399999999995,-46.6313,-23.5414
44,1604,21,20,2,3963.6,400.4,-46.6313,-23.526399999999995,-46.63130000000001,-23.496400000000005
45,1610,21,20,2,4273.6,512.6,-46.6313,-23.526399999999995,-46.63130000000001,-23.496400000000005
46,1628,20,20,4,5687.4,551.7,-46.601299999999995,-23.5414,-46.6313,-23.526399999999995
47,1630,20,20,4,5687.4,551.7,-46.601299999999995,-23.5414,-46.6313,-23.526399999999995
48,1632,21,21,4,5029.1,476.9,-46.6313,-23.526399999999995,-46.61630000000001,-23.511399999999995
49,1661,21,19,4,1577.6,165.4,-46.6313,-23.526399999999995,-46.646300000000004,-23.526399999999995
50,1671,21,18,4,4051.5,442.1,-46.6313,-23.526399999999995,-46.661300000000004,-23.5564
51,1688,21,21,4,2529.9,251.3,-46.6313,-23.526399999999995,-46.61630000000001,-23.5414
52,1689,20,20,4,2562.0,257.3,-46.61630000000001,-23.5414,-46.6313,-23.526399999999995
53,1740,20,20,4,2586.2,280.6,-46.61630000000001,-23.5414,-46.6313,-23.526399999999995
54,1751,21,20,4,2862.0,307.2,-46.61630000000001,-23.526399999999995,-46.6313,-23.526399999999995
55,1770,21,21,4,4748.2,457.7,-46.6313,-23.526399999999995,-46.61630000000001,-23.496400000000005
56,1771,23,20,4,5056.1,511.2,-46.61630000000001,-23.496400000000005,-46.6313,-23.526399999999995
57,1830,21,19,4,1587.0,241.5,-46.646300000000004,-23.526399999999995,-46.646300000000004,-23.526399999999995
58,1832,21,19,4,1326.9,160.0,-46.646300000000004,-23.526399999999995,-46.646300000000004,-23.526399999999995
59,1904,22,19,4,2901.0,376.8,-46.6313,-23.511399999999995,-46.646300000000004,-23.526399999999995
60,1959,20,19,4,3521.4,431.5,-46.646300000000004,-23.5414,-46.646300000000004,-23.526399999999995
61,2005,21,17,4,5022.8,555.8,-46.646300000000004,-23.526399999999995,-46.67630000000001,-23.526399999999995
62,2006,21,19,4,5007.0,493.6,-46.67630000000001,-23.526399999999995,-46.646300000000004,-23.526399999999995
63,2017,21,20,2,5806.9,556.7,-46.646300000000004,-23.526399999999995,-46.6313,-23.5414
64,2018,20,19,4,4564.7,505.5,-46.6313,-23.5414,-46.646300000000004,-23.526399999999995
65,2039,21,21,2,8319.9,817.0,-46.646300000000004,-23.526399999999995,-46.61630000000001,-23.5564
66,2040,19,19,4,7292.9,685.0,-46.61630000000001,-23.5564,-46.646300000000004,-23.526399999999995
67,2041,21,21,4,5972.5,606.7,-46.646300000000004,-23.526399999999995,-46.61630000000001,-23.5414
68,2042,20,19,4,5378.8,535.7,-46.61630000000001,-23.5414,-46.646300000000004,-23.526399999999995
69,2085,21,19,4,3770.0,428.9,-46.661300000000004,-23.526399999999995,-46.646300000000004,-23.526399999999995
70,2097,21,18,4,6798.9,732.1,-46.6313,-23.526399999999995,-46.661300000000004,-23.5564
71,2134,22,16,4,6112.2,513.4,-46.646300000000004,-23.511399999999995,-46.691300000000005,-23.511399999999995
72,2135,22,19,2,4774.6,393.2,-46.691300000000005,-23.511399999999995,-46.646300000000004,-23.511399999999995
73,2180,21,21,4,5400.8,473.1,-46.646300000000004,-23.526399999999995,-46.61630000000001,-23.496400000000005
74,2186,22,20,2,2933.0,275.6,-46.6313,-23.511399999999995,-46.6313,-23.526399999999995
75,2202,20,20,4,2691.7,338.7,-46.6313,-23.5414,-46.6313,-23.526399999999995
76,2224,21,21,4,4025.2,429.8,-46.6313,-23.526399999999995,-46.61630000000001,-23.496400000000005
77,2231,21,20,4,3472.0,464.5,-46.6313,-23.526399999999995,-46.6313,-23.5414
78,2257,22,20,4,2517.9,260.5,-46.6313,-23.511399999999995,-46.6313,-23.526399999999995
79,2270,21,20,4,1835.8,186.5,-46.6313,-23.526399999999995,-46.6313,-23.526399999999995
80,2311,21,19,4,3012.5,353.3,-46.6313,-23.526399999999995,-46.646300000000004,-23.526399999999995
81,2322,21,19,4,2837.1,317.0,-46.6313,-23.526399999999995,-46.646300000000004,-23.526399999999995
82,2327,20,20,4,3551.5,323.2,-46.61630000000001,-23.5414,-46.6313,-23.526399999999995
83,2329,23,20,4,3329.6,380.4,-46.63130000000001,-23.496400000000005,-46.6313,-23.526399999999995
84,2333,21,20,4,2969.9,302.8,-46.646300000000004,-23.526399999999995,-46.6313,-23.526399999999995
85,2336,21,17,4,6308.1,686.5,-46.6313,-23.526399999999995,-46.67630000000001,-23.5564
