NomeZona,media
Bom Jardim,1.517990568743902
Parque Edu Chaves,1.6795237212641916
Rudge,2.011552003656502
Caninde,2.0496872961042385
USP Leste II,2.12132034355964
USP Leste I,2.1290244844245385
Santa Marina,2.1761166951631425
Zaki Narchi,2.1969548571278894
Vila Guilherme,2.287087499587478
CEASA,2.3911090726695265
Catumbi,2.4265973452647005
Gasometro,2.501199712138122
Bresser,2.5369079520799476
Joao Teodoro,2.657536453183669
Oriente,2.661553591676831
Coroa,2.704828676411624
Tiete,2.7492964409239113
Barra Funda,2.7638713523808325
Vila Independencia,2.8645194716499542
Carandiru,2.899787893174788
Limao,2.928228059840955
Vila Anastacio,2.995902197240434
Jardim Romano,3.0150685025905486
Belem,3.088033514808895
Parque Ecologico do Tiete,3.13625910899939
Lapa de Baixo,3.174186443670304
Pari,3.3416789447840216
Jardim Helena,3.4657812663203
Parque Anhembi,3.664663977064341
Tamanduatei,3.675561007895335
Bom Retiro,3.726647497699783
Ponte Pequena,3.7400577534295603
Vila Maria,3.7932309495032834
Celso Garcia,3.9316761388439736
Bras,3.9330279260258543
Vila Socorro,4.136041025238964
Independencia,4.373816718870617
Jardim Luzitania,4.498131404559432
Jardins,4.677206361370901
Belenzinho,4.94515638657573
Berrini,5.329796970926289
Vila Leopoldina,5.561598666874489
Vila Olimpia,5.6421571249908755
Agua Branca,5.812745624565575
Santa Cecilia,5.901015118217185
Emissario,5.984772133573717
Luz,6.017535858880434
Jacana,6.264022949395803
Jardim Brasil,6.470418841728398
Vila Cordeiro,6.488240459666093
Parque Sao Jorge,6.60518327643442
Brooklin,6.611836847442469
Santana,6.647939668185507
Bandeirantes,6.72270923756467
Consolacao,6.739698020814019
Vila Miranda,6.759019032617869
Pinheiros,6.789250208739859
Santa Ifigenia,6.905227456656223
Vila Sabara,7.00840884125747
Vila Nova Conceicao,7.238859506615726
Helio Pelegrino,7.2442144953137815
Lapa,7.347928643642023
Parque Novo Mundo,7.359214029221914
Butanta,7.4246143303742524
Jardim Paulistano,7.442213772446044
Parque Ibirapuera,7.6497286074836985
Jardim Europa,7.9632082382289875
Vila Helena,8.034423941730886
Bela Alianca,8.129292297514409
Pamplona,9.075582470734206
Congonhas,9.281473638154221
Rio Claro,9.374416747246732
Chacara Itaim,9.402189090814865
Quarta Parada,9.56335666854363
Bexiga,9.573980100315726
Chacara do Piqueri,9.701338610012783
Higienopolis,9.75554380445472
Treze de Maio,9.758512767249584
Granja Julieta,9.985238289021511
Vila Carioca,10.046738752137331
Republica,10.097963366202254
Pedro Jose Nunes,10.258625928485326
Moema,10.301378042901874
Francisco Matarazzo,10.534353006578895
Parque Dom Pedro,10.667441080218063
Alto da Mooca,10.668116624663144
Se,10.822218326176676
Arena Corinthians,10.91796439232239
Parque Guarani,10.933901825466197
Joaquim Nabuco,11.059170661486771
Ladeira da Memoria,11.197438978418996
Sao Joao Climaco,11.34513739379138
Gaviao Peixoto,11.372474818532455
Limoeiro,11.40259868114861
Campinas,11.435935706217242
Vila Re,11.52917487251466
Oscar Freire,11.59524236012646
Cidade Nitro-Operaria,11.766880528191791
Jardim Jussara,11.879030646860373
Jurubatuba,11.895796638108074
Sacoma,11.979084360579638
Mooca,12.018024590667041
Vila Monumento,12.127144803200062
Tatuape,12.238113956928432
Laranja da China,12.260046232557798
Cocaia,12.36588286090041
Vila Natal,12.4010387387276
Glicerio,12.411879943791138
Vila Clementino,12.48797871567301
Ipiranga,12.623984562643782
Aclimacao,12.762526709210908
Anchieta,12.815088716385073
Trianon,12.912235897251136
Saudade,13.012563877858668
Jardim Sonia Inga,13.018265958297288
Sao Carlos do Pinhal,13.040344117876774
Campo Belo,13.128265566475855
Liberdade,13.166438430146302
Alto de Pinheiros,13.189566295871028
Orfanato,13.303574828167864
Regente Feijo,13.322493769919866
Barreira Grande,13.54803258220172
Parque do Estado,13.636406512999468
Casa Verde,13.653879293180566
Rio Verde,13.760931639186664
Vila California,13.776513647029349
Jardim Colorado,13.809809493216946
Vila Jacui,13.81739860251746
Vila Bertioga,13.901668119141254
Teotonio Vilela,13.979021234606549
Jardim Presidente,14.008888826114614
Belmira Marin,14.11305531555805
Rio Bonito,14.218792056085922
Frei Mont'Alverne,14.246961380735486
Vila Mariana,14.289589377065198
Vila Esperanca,14.297134032001724
Parque da Mooca,14.341125350859969
Vila Heliopolis,14.354976783080982
Jardim Analia Franco,14.4186715981325
Jardim Aeroporto,14.596474472302294
Capao Redondo,14.65212662238616
Centro Cultural,14.74339875473234
Vila Matilde,14.751080662968551
Campo Grande,14.774229839809866
Parque Continental,14.776422089750499
Parque Interlagos,14.812143406879343
Itaberaba,14.820860599518468
Linhas Corrente,14.881366096501242
Marechal Deodoro,14.930871059983602
Araucarias,14.973323968418692
Jardim Represa,14.992012285816754
Vila Hamburguesa,15.036350749035861
Franca Pinto,15.050116244840785
Brasilandia,15.104695112295024
Rodrigues Alves,15.11988408648011
Agua Rasa,15.158612966074363
Planalto Paulista,15.15969330245175
Cupece,15.17267798657344
Vila das Merces,15.223054561333477
Moinho Velho,15.308266368366622
Rui Barbosa,15.34510508430124
Ponte Rasa,15.347768790718913
Jabaquara,15.349173566892835
Vila Medeiros,15.401859846651705
Cidade IV Centenario,15.454621541197929
Santo Amaro,15.460791498721647
Parada Inglesa,15.478907161412964
Freguesia do O,15.484170538953666
Jardim das Oliveiras,15.542426070065854
Jardim Previdencia,15.558422022991161
Burgo Paulista,15.670162324683899
SESC Interlagos,15.67557304935084
Vila Santa Catarina,15.679022056586074
Vila Gustavo,15.692981019313704
Cidade Patriarca,15.713031043253038
Vila Jaguara,15.721077155828127
Parque Buturussu,15.734761437218603
Tiquatira,15.737195394524651
Vila Ema,15.742499466793175
Zequinha de Abreu,15.774054173572054
Itaquera,15.785916380012463
Mirandopolis,15.842873224528931
Grajau,15.849453580596585
Jose Bonifacio,15.861067875605514
Cambuci,15.897188707534456
Parada XV,15.96173517968841
Vila Sonia,15.988060988710199
Cidade A.E.Carvalho,16.001361551472463
Sao Domingos,16.013807781993695
Alto do Ipiranga,16.043609017114562
